"","seqn","ridstatr","riagendr","ridageyr","ridreth1","ridexmon","ridexagy","dmdborn4","dmdeduc3","sialang","wtint","wtmec","sdmvpsu","sdmvstra","indhhin2","indfmin2","indfmpir","dmdhhsiz","dmdfmsiz","dmdhhsza","dmdhhszb","dmdhhszf","dmdhrgnd","dmdhrage","dmdhrbr4","dmdhredu","dmdhrmar"
"661",72577,2,1,12,3,1,12,1,5,1,52684.108015,53977.62039,4,1,14,14,3.9,5,4,0,3,2,1,36,1,5,1
"662",72578,2,1,10,3,2,10,1,4,1,55325.775623,57224.611448,6,1,15,15,5,4,4,0,2,2,1,43,1,5,1
"663",72579,2,1,9,3,1,9,1,3,1,64806.257223,65104.860918,5,1,14,14,2.78,5,5,0,3,2,1,51,1,4,1
"664",72580,2,2,5,4,2,5,1,NA,1,26194.393879,27149.67165,8,1,1,1,0.17,5,5,2,2,2,2,25,1,2,5
"665",72581,2,2,8,3,2,8,1,2,1,32445.936096,33368.723071,9,1,15,15,5,2,2,0,1,2,2,41,1,4,3
"666",72582,2,1,5,2,2,5,1,NA,2,25315.196066,24977.467635,8,1,12,6,0.96,6,5,1,2,2,2,26,2,1,6
"667",72583,2,2,6,3,2,6,1,0,1,25375.846811,26210.469135,5,1,5,5,1.04,4,4,1,1,2,1,36,1,3,1
"668",72584,2,2,11,4,2,11,1,5,1,22890.522525,23941.296485,9,1,6,6,0.93,5,5,1,2,2,2,42,1,2,5
"669",72585,2,1,14,4,2,14,1,8,1,16555.646491,16691.906627,10,1,8,8,1.29,7,7,0,3,2,2,40,1,3,1
"670",72586,2,1,6,4,2,6,1,1,1,15189.201871,16018.620361,10,1,15,15,5,5,5,0,2,1,1,45,1,4,1
"671",72587,2,2,3,1,1,3,1,NA,1,22805.882206,24656.263333,3,1,15,15,5,3,3,1,0,2,1,37,1,5,1
"672",72588,2,1,3,1,1,3,1,NA,2,22744.06361,23327.491692,14,1,77,77,NA,4,4,2,0,2,1,30,2,1,1
"673",72589,2,2,3,3,2,3,1,NA,1,38792.636971,39395.575204,9,1,14,14,3.25,4,4,1,1,2,2,32,1,4,6
"674",72590,2,1,6,2,1,6,1,0,2,23297.958815,23889.263011,3,1,6,6,1.08,4,4,0,2,2,1,32,2,3,6
"675",72591,2,2,3,4,2,3,1,NA,1,28574.645151,30224.392397,9,1,2,2,0.23,5,5,3,0,2,2,25,1,3,1
"676",72592,2,2,13,3,2,13,1,6,1,36529.931684,37416.92804,6,1,15,15,5,4,4,0,2,2,1,43,1,5,1
"677",72593,2,1,8,4,2,9,1,3,1,11675.963818,12313.539141,11,1,10,10,2.59,5,5,1,2,2,1,32,1,3,6
